Year,bat_first,score_first,bat_second,score_second
1979,SL,238,IND,191
1979,AUS,159,ENG,160
1987,ZIM,135,IND,136
2015,WI,372,ZIM,289
2003,KEN,174,AUS,178
1983,PAK,338,SL,288
1992,NZ,248,AUS,211
2011,AUS,262,ZIM,171
1996,NZ,307,NET,188
2015,NZ,331,SL,233
2011,IND,260,PAK,231
1992,WI,264,ZIM,189
2003,AUS,319,SL,223
2011,CAN,211,AUS,212
2015,SA,281,NZ,299
2011,SL,327,ZIM,188
1999,IND,373,SL,216
1992,WI,203,NZ,206
2015,SA,408,WI,151
1975,EAS,120,IND,123
1983,AUS,272,ZIM,240
1999,KEN,152,SA,153
1996,ZIM,228,SL,229
2015,SL,363,SCO,215
2007,BAN,104,AUS,106
1979,SL,189,NZ,190
2019,SA,29,WI,0
2015,ENG,309,SL,312
2011,PAK,184,CAN,138
1975,SL,86,WI,87
1979,CAN,139,PAK,140
2019,AUS,223,ENG,226
1987,NZ,242,ZIM,239
2003,AUS,170,NET,122
2003,BAN,198,NZ,199
1999,IND,329,KEN,235
1987,WI,360,SL,169
1992,IND,230,NZ,231
2007,BAN,174,NZ,178
2003,ZIM,133,KEN,135
1979,WI,286,ENG,194
1999,AUS,303,ZIM,259
2003,NZ,241,WI,221
1979,CAN,105,AUS,106
1975,PAK,266,WI,267
2019,AUS,381,BAN,333
1992,ZIM,163,SA,164
2007,SL,318,BAN,112
2019,WI,212,ENG,213
1992,ZIM,134,ENG,125
1992,ENG,200,NZ,201
2007,WI,230,BAN,131
1996,ENG,249,PAK,250
2003,SA,254,CAN,136
2011,IND,296,SA,300
2011,SA,284,BAN,78
1996,NZ,286,AUS,289
2019,BAN,244,NZ,248
1999,PAK,275,AUS,265
2015,NZ,183,AUS,186
1996,NZ,276,UAE,167
2011,NET,189,IND,191
2003,ENG,204,AUS,208
1999,BAN,182,WI,183
2015,SL,332,BAN,240
1992,PAK,220,AUS,172
2003,WI,278,SA,275
1996,ZIM,154,AUS,158
2003,WI,244,BAN,32
1996,SL,398,KEN,254
2011,NET,292,ENG,296
2019,WI,311,AFG,288
1987,AUS,253,ENG,246
2015,AUS,342,ENG,231
2015,IND,307,SA,177
2011,IRE,207,IND,210
1987,ENG,269,WI,235
2011,SA,272,IRE,141
1999,SA,225,ENG,103
2015,PAK,213,AUS,216
1992,AUS,216,WI,159
2011,PAK,277,SL,266
2015,ENG,303,SCO,184
2003,IND,204,NET,136
2011,KEN,142,SL,146
2007,WI,300,ENG,301
2003,ZIM,0,ENG,0
1999,PAK,220,SA,221
2011,IND,268,WI,188
2015,PAK,235,ZIM,215
1983,WI,252,AUS,151
1996,NET,145,PAK,151
2011,NZ,302,PAK,192
1999,SA,271,AUS,272
2019,IND,224,AFG,213
2007,IRE,183,WI,190
1987,WI,243,ENG,246
1992,SA,236,ENG,226
2015,ENG,123,NZ,125
2003,ENG,246,PAK,134
1975,AUS,328,SL,276
2011,WI,275,IRE,231
2019,AUS,334,SL,247
1996,SL,251,IND,120
1996,SA,328,NET,168
1999,BAN,185,SCO,163
1999,PAK,269,NZ,207
1975,ENG,290,EAS,94
2003,AUS,208,NZ,112
1992,SL,189,AUS,190
1987,AUS,267,PAK,249
1983,AUS,320,IND,158
2007,ENG,266,IRE,218
1999,KEN,203,ENG,204
2019,AFG,125,SA,131
2015,SCO,130,AUS,133
1999,IND,251,NZ,253
2007,IND,413,BER,156
2015,WI,182,IND,185
2003,IND,311,NAM,130
1999,IND,227,PAK,180
1992,AUS,170,SA,171
2003,IND,292,SL,109
1999,KEN,229,ZIM,231
2019,PAK,105,WI,108
1996,IND,271,SL,272
1975,AUS,278,PAK,205
1992,IND,1,SL,0
2015,UAE,285,ZIM,286
1987,ENG,244,PAK,247
2015,SA,411,IRE,210
1996,NZ,239,ENG,228
2011,ENG,225,BAN,227
1992,PAK,74,ENG,0
1996,KEN,166,WI,93
2011,AUS,260,IND,261
2011,ZIM,162,NZ,166
2015,UAE,175,WI,176
1992,SA,195,SL,198
2015,IND,300,PAK,224
1987,AUS,199,NZ,196
1979,ENG,165,PAK,151
1983,ZIM,155,IND,157
1996,PAK,242,SA,243
1992,PAK,249,ENG,227
1999,SCO,68,WI,70
1999,PAK,132,AUS,133
1999,BAN,178,AUS,181
1987,ENG,296,SL,158
2007,IRE,91,AUS,92
2019,IND,336,PAK,212
2015,SCO,210,AFG,211
2011,IND,338,ENG,338
2007,NZ,331,KEN,183
2015,WI,304,IRE,307
2011,WI,330,NET,115
1996,ZIM,151,WI,155
1996,NET,216,UAE,220
2011,AUS,176,PAK,178
2015,NZ,393,WI,250
2003,KEN,0,NZ,0
2003,KEN,210,SL,157
1992,ZIM,312,SL,313
2015,AUS,417,AFG,142
2003,IND,255,ZIM,172
1996,UAE,136,ENG,140
2015,SCO,318,BAN,322
2007,IRE,221,ZIM,221
2007,SA,193,NZ,196
2019,NZ,239,IND,221
2015,BAN,275,ENG,260
2011,ENG,327,IRE,329
2007,PAK,132,IRE,133
2019,NZ,291,WI,286
1992,WI,268,SL,177
1999,ZIM,167,ENG,168
2007,AUS,377,SA,294
2007,AUS,281,SL,215
2007,IRE,243,BAN,169
2019,AUS,285,ENG,221
2019,SL,203,SA,206
2003,AUS,301,NAM,45
2007,AUS,322,WI,219
1999,SCO,181,AUS,182
1996,SL,0,WI,0
1999,PAK,271,ZIM,123
2007,AUS,334,SCO,131
2003,IND,250,ENG,168
1992,IND,180,SA,181
1992,NZ,262,PAK,264
2003,BAN,108,SA,109
2015,AUS,0,BAN,0
2007,SL,289,NZ,208
1996,SL,0,AUS,0
2015,AUS,151,NZ,152
1992,IND,197,WI,195
2015,SCO,142,NZ,146
2007,BAN,143,ENG,147
1996,ENG,279,NET,230
2019,AUS,243,NZ,157
1983,PAK,235,SL,224
2019,AFG,172,NZ,173
1987,WI,216,PAK,217
2007,WI,177,NZ,179
1992,ENG,236,IND,227
2003,SL,268,SA,229
1999,ZIM,233,SA,185
1996,AUS,207,WI,202
1975,ENG,93,AUS,94
1983,NZ,238,PAK,186
1979,WI,293,PAK,250
1999,PAK,261,SCO,167
1996,AUS,258,IND,242
2019,SL,201,AFG,152
2011,SL,332,CAN,122
2003,ENG,272,NAM,217
1992,AUS,237,IND,234
1983,PAK,261,NZ,250
2003,CAN,196,NZ,197
2015,SA,341,UAE,195
2015,ZIM,287,IND,288
1999,NZ,156,WI,158
1983,SL,206,NZ,209
2011,NZ,217,SL,220
2003,AUS,310,PAK,228
2007,SL,209,SA,212
2003,AUS,212,SL,123
2015,UAE,102,IND,104
1975,ENG,266,NZ,186
2003,AUS,359,IND,234
2019,SL,136,NZ,137
1992,SA,200,WI,136
2003,CAN,202,WI,206
2015,AUS,376,SL,312
2003,IND,125,AUS,128
1999,AUS,213,NZ,214
1992,NZ,162,ZIM,105
2007,NZ,263,IRE,134
2003,NET,142,ENG,144
1987,PAK,239,ENG,221
1983,NZ,181,SL,184
1983,ZIM,239,AUS,226
2007,AUS,358,NET,129
2011,SL,146,AUS,0
1999,NZ,241,PAK,242
2019,ENG,311,SA,207
1979,ENG,221,NZ,212
2011,SL,274,IND,277
2003,PAK,253,NET,156
2007,SL,321,BER,78
2007,IRE,152,SA,165
1999,IND,253,SA,254
2015,IRE,331,ZIM,326
1996,ZIM,45,KEN,0
1987,AUS,235,ZIM,139
1996,UAE,109,PAK,112
1996,KEN,199,IND,203
2019,SL,232,ENG,212
1975,AUS,192,WI,195
2011,BAN,58,WI,59
2019,BAN,0,SL,0
1987,IND,252,NZ,236
2007,ENG,154,SA,157
1975,WI,291,AUS,274
1996,WI,264,SA,245
1983,PAK,193,ENG,199
2019,ENG,386,BAN,280
2015,AFG,232,SL,236
2003,PAK,255,NAM,84
2007,KEN,177,ENG,178
2015,AFG,111,ENG,101
2011,NZ,358,CAN,261
2003,SL,228,WI,222
2003,CAN,180,BAN,120
2003,BAN,124,SL,126
2007,NZ,219,SL,222
2019,AUS,288,WI,273
2003,NZ,146,IND,150
2019,ENG,337,IND,306
2019,PAK,0,SL,0
2007,AUS,348,NZ,133
2011,WI,112,PAK,113
2007,ZIM,202,WI,204
1999,AUS,213,SA,213
1999,SL,204,ENG,207
1983,WI,282,IND,216
2003,SA,306,NZ,229
1999,SCO,121,NZ,123
2011,KEN,69,NZ,72
2007,CAN,199,KEN,203
1992,SA,211,PAK,173
1983,ZIM,171,WI,172
1975,NZ,309,EAS,128
2019,NZ,237,PAK,241
1983,IND,266,ZIM,235
1987,NZ,221,IND,224
2003,SL,272,NZ,225
1983,ENG,333,SL,286
2007,ENG,209,NZ,210
2015,WI,310,PAK,160
1992,WI,157,ENG,160
2011,NET,160,BAN,166
2019,ENG,397,AFG,247
1983,IND,247,AUS,129
2011,SL,265,NZ,153
2007,IND,191,BAN,192
2003,NET,314,NAM,250
1975,NZ,158,WI,159
2011,NZ,206,AUS,207
1992,SL,206,NZ,210
2015,AFG,186,NZ,188
2007,PAK,349,ZIM,99
1999,BAN,116,NZ,117
2011,ENG,171,SA,165
2019,ENG,305,NZ,186
1996,AUS,304,KEN,207
2007,SA,149,AUS,153
2019,BAN,262,AFG,200
2011,ZIM,298,CAN,123
2003,PAK,73,ZIM,0
1983,ENG,213,IND,217
2015,BAN,267,AFG,162
1983,SL,136,ENG,137
1999,ZIM,197,SL,198
1999,BAN,223,PAK,161
2019,SA,325,AUS,315
1999,SL,275,KEN,230
